co_ies;ies_censo;grupo;uf_censo;co_mantenedora;mantenedora;cnpj;natureza_juridica;ies_emec;sigla;endereco_sede;municipio;uf;organizacao;credenciamento;categoria;ci;ci_ead;igc;sinalizacoes;situacao
1077;Centro Universitário Estácio do Recife;YDUQS;PE;545;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;02.608.755/0001-07;Privada com fins lucrativos;Centro Universitário Estácio do Recife;-;Avenida Engenheiro Abdias de Carvalho - 1678 - CEP: 50720-635 - Madalena;Recife;PE;Centro Universitário;Presencial - Superior;Privada;5;;3;;Ativa
1812;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO AMAZONAS;Independentes;AM;16583;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS;10.792.928/0001-00;Pessoa Jurídica de Direito Público - Federal;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAZONAS (IFAM);IFAM;Avenida Sete de Setembro - 1975 - CEP: 69020-120 - CENTRO;Manaus;AM;Instituto Federal de Educação, Ciência e Tecnologia;EAD - Superior / Presencial - Superior /;Publica;5;4;3;;Ativa
1718;CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;Independentes;BA;1135;UNIFAN CENTRO UNIVERSITARIO NOBRE DE FEIRA DE SANTANA LTDA;14.487.128/0001-36;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO NOBRE DE FEIRA DE SANTANA;-;Avenida Maria Quitéria - 2116 - CEP: 44001-008 - Centro;Feira de Santana;BA;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;4;5;4;;Ativa
1557;UNIVERSIDADE FUMEC;Independentes;MG;113;FUNDACAO MINEIRA DE EDUCACAO E CULTURA;17.253.253/0001-70;Privada sem fins lucrativos;UNIVERSIDADE FUMEC (FUMEC);FUMEC;Rua Cobre - 200 - CEP: 30310-190 - Cruzeiro;Belo Horizonte;MG;Universidade;EAD - Superior / Presencial - Superior /;Privada;4;4;4;;Ativa
534;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;Independentes;BA;372;FUNDACAO BAHIANA PARA DESENVOLVIMENTO DAS CIENCIAS;13.927.934/0001-15;Privada sem fins lucrativos;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA (EBMSP);EBMSP;Av. D. João VI - 275 - CEP: 40290-150 - Brotas;Salvador;BA;Faculdade;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
14403;CENTRO UNIVERSITÁRIO DO PARANÁ;Vitru;PR;19855;VITRU EDUCACAO S.A.;20.512.706/0001-40;Privada com fins lucrativos;CENTRO UNIVERSITÁRIO DO PARANÁ (UNIPA);UNIPA;Rua Itajubá - 673 - CEP: 81070-190 - Bairro Portão;Curitiba;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;Unificação de Mantidas;Ativa
351;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;Independentes;MG;244;FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA;17.178.203/0001-75;Privada sem fins lucrativos;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS (FCMMG);FCMMG;Alameda Ezequiel Dias - 275 - CEP: 30130-110 - Centro;Belo Horizonte;MG;Faculdade;EAD - Superior / Presencial - Superior /;Privada;5;5;4;;Ativa
18637;Faculdade IMES;Independentes;MG;16056;INSTITUTO MINEIRO DE EDUCACAO SUPERIOR;07.543.471/0001-95;Privada sem fins lucrativos;Faculdade IMES (IMES);IMES;Rua Peçanha - 662 - 10º Andar - CEP: 35010-161 - Centro;Governador Valadares;MG;Faculdade;EAD - Superior / Presencial - Superior /;Privada;3;5;2;;Ativa
1189;UNIVERSIDADE DO PLANALTO CATARINENSE;Independentes;SC;334;FUNDACAO DAS ESCOLAS UNIDAS DO PLANALTO CATARINENSE;84.953.579/0001-05;Privada sem fins lucrativos;UNIVERSIDADE DO PLANALTO CATARINENSE (UNIPLAC);UNIPLAC;Avenida Castelo Branco - 170 - CEP: 88509-900 - Universitário;Lages;SC;Universidade;EAD - Superior / Presencial - Superior /;Privada;5;4;3;Adesão ao PROIES;Ativa
1396;Centro Universitário Dinâmica das Cataratas;Independentes;PR;924;UNIAO DINAMICA DE FACULDADES CATARATAS UDC LTDA;01.208.350/0001-00;Privada com fins lucrativos;Centro Universitário Dinâmica das Cataratas (UDC);UDC;Rua Castelo Branco - 349 - CEP: 85852-010 - Centro;Foz do Iguaçu;PR;Centro Universitário;EAD - Superior / Presencial - Superior /;Privada;5;5;3;;Ativa
