tabela,n,secao,variavel,descricao,tipo,tamanho,categorias,observacao
cadastro_cursos,216,ESTATÍSTICAS DO CURSO,QT_ING_APOIO_SOCIAL,Quantidade de ingressantes que recebem algum tipo de apoio social,Num,8,,
cadastro_cursos,217,ESTATÍSTICAS DO CURSO,QT_MAT_APOIO_SOCIAL,Quantidade de matrículas de alunos que recebem algum tipo de apoio social,Num,8,,
cadastro_cursos,218,ESTATÍSTICAS DO CURSO,QT_CONC_APOIO_SOCIAL,Quantidade de concluintes que recebem algum tipo de apoio social,Num,8,,
cadastro_cursos,219,ESTATÍSTICAS DO CURSO,QT_ATIV_EXTRACURRICULAR,Quantidade de alunos que participam de algum tipo de atividade extracurricular,Num,8,,
cadastro_cursos,220,ESTATÍSTICAS DO CURSO,QT_ING_ATIV_EXTRACURRICULAR,Quantidade de ingressantes que participam de algum tipo de atividade extracurricular,Num,8,,
cadastro_cursos,221,ESTATÍSTICAS DO CURSO,QT_MAT_ATIV_EXTRACURRICULAR,Quantidade de matrículas de alunos que participam de algum tipo de atividade extracurricular,Num,8,,
cadastro_cursos,222,ESTATÍSTICAS DO CURSO,QT_CONC_ATIV_EXTRACURRICULAR,Quantidade de concluintes que participam de algum tipo de atividade extracurricular,Num,8,,
cadastro_cursos,223,ESTATÍSTICAS DO CURSO,QT_MOB_ACADEMICA,"Quantidade de alunos que se vincularam temporariamente a outra instituição, sendo ela nacional ou internacional",Num,8,,
cadastro_cursos,224,ESTATÍSTICAS DO CURSO,QT_ING_MOB_ACADEMICA,"Quantidade de ingressantes que se vincularam temporariamente a outra instituição, sendo ela nacional ou internacional",Num,8,,
cadastro_cursos,225,ESTATÍSTICAS DO CURSO,QT_MAT_MOB_ACADEMICA,"Quantidade de alunos regularmente matriculados que se vincularam temporariamente a outra instituição, sendo ela nacional ou internacional",Num,8,,
cadastro_cursos,226,ESTATÍSTICAS DO CURSO,QT_CONC_MOB_ACADEMICA,"Quantidade de concluintes que se vincularam temporariamente a outra instituição, sendo ela nacional ou internacional",Num,8,,
